Date_fcx,fcx_volume,fcx_price,Date_nktr,nktr_volume,nktr_price
08-04-2022,9620296,45.04231,08-04-2022,2660161,5.06806
07-04-2022,11154291,44.57111,07-04-2022,2515091,5.30477
06-04-2022,13635760,44.05941,06-04-2022,3195357,5.26219
05-04-2022,13805868,44.97893,05-04-2022,2721594,5.16767
04-04-2022,12300254,46.37813,04-04-2022,3486519,5.22096
01-04-2022,16632868,46.15942,01-04-2022,3673453,5.06341
31-03-2022,10964372,44.8836,31-03-2022,2725849,4.86374
30-03-2022,11190295,45.51403,30-03-2022,3961422,4.99238
29-03-2022,15729428,45.20758,29-03-2022,3788666,5.18953
28-03-2022,14166895,45.72494,28-03-2022,3160946,5.04821
25-03-2022,11530156,47.24775,25-03-2022,2203433,5.11327
24-03-2022,18021551,46.79825,24-03-2022,3443653,5.33928
23-03-2022,11371706,45.25713,23-03-2022,2850126,5.60603
22-03-2022,15558189,45.2327,22-03-2022,5451095,5.51574
21-03-2022,15327125,44.8826,21-03-2022,3787335,5.15819
18-03-2022,27493091,43.4759,18-03-2022,4987780,5.06375
17-03-2022,18150945,43.66855,17-03-2022,9298619,4.97888
16-03-2022,20461605,42.26147,16-03-2022,6877973,4.21522
15-03-2022,18570084,40.48272,15-03-2022,8881835,4.09581
14-03-2022,21012009,40.56492,14-03-2022,26150614,3.79043
11-03-2022,14331207,42.99194,11-03-2022,1118853,9.738
10-03-2022,16686626,43.41219,10-03-2022,1745832,9.9454
09-03-2022,23418117,42.36387,09-03-2022,2978278,9.96213
08-03-2022,23946895,42.64827,08-03-2022,1418700,9.44896
07-03-2022,27210636,43.35632,07-03-2022,1466059,9.30575
04-03-2022,25510318,45.86308,04-03-2022,1672844,9.6101
03-03-2022,22678660,44.42132,03-03-2022,2117560,9.59189
02-03-2022,19132865,43.37566,02-03-2022,1567951,9.68207
01-03-2022,27302498,43.12719,01-03-2022,2335979,9.88388
28-02-2022,23876942,41.90094,28-02-2022,2188607,9.13878
25-02-2022,29087945,41.22409,25-02-2022,1757484,8.87821
24-02-2022,20397669,39.15107,24-02-2022,2286362,9.13406
23-02-2022,13945730,37.53536,23-02-2022,1785011,8.64569
22-02-2022,14429629,37.37427,22-02-2022,1609545,9.11417
18-02-2022,15846697,37.99682,18-02-2022,1587211,9.31814
17-02-2022,12251653,38.04032,17-02-2022,1508717,9.41104
16-02-2022,11736029,38.9011,16-02-2022,1481109,9.83736
